Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Policies - Exit-Strategien Schule,Policies - exit strategies School,EXIT_SCHOOL6,Unipark,Es finden verstärkte Diskussionen um die Öffnung von Kindertagesstätten und Schulen statt. ,It held discussions intensified around the opening of day care centers and schools.,Abschlussklassen sollten im häuslichen Lernen auf die Prüfungen vorbereitet werden und ihre Prüfung wie geplant ablegen. In der Prüfungssituation werden alle geltenden Regeln des Infektionsschutzes eingehalten.,Graduating classes should be prepared in the home learning for the exams and take their examination as planned. In the test situation with all applicable rules of infection control are met.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,EXIT_SCHOOL7,Unipark,Es finden verstärkte Diskussionen um die Öffnung von Kindertagesstätten und Schulen statt. ,It held discussions intensified around the opening of day care centers and schools.,Schüler/innen der Abschluss- und Übergangsklassen sollten nach den Osterferien wieder im normalen Schulbetrieb unterrichtet werden. Alle anderen Schüler/innen bleiben weiter im häuslichen Lernen.,Students / inside of the closure and transition classes should be taught after the Easter holidays again in normal school. All other students / stay inside more in the home learning.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,EXIT_SCHOOL8,Unipark,Es finden verstärkte Diskussionen um die Öffnung von Kindertagesstätten und Schulen statt. ,It held discussions intensified around the opening of day care centers and schools.,"Klassen werden aufgeteilt (halbiert, max. 15 Schüler) und die Schüler/innen werden im Rotationsbetrieb unterrichtet.","Classes are divided (cut in half, max. 15 students) and students / inside are taught in the rotating operation.","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,EXIT_SCHOOL9,Unipark,Es finden verstärkte Diskussionen um die Öffnung von Kindertagesstätten und Schulen statt. ,It held discussions intensified around the opening of day care centers and schools.,"Die Schulen sollten für ältere Kinder früher öffnen als für jüngere Kinder, da ältere Kinder die Abstandsregeln besser einhalten.",Schools should open earlier for older children than for younger children because older children comply with the spacing rules better.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Erst nach Start der Welle 7 eingefügt,inserted only after the start of the shaft 7,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,Condition_School,Unipark,keine,no,keine,no,"1 - A/B-Woche
2 - vor-/nachmittags
3 - Mo/Di und Do/Fr","1 - A / B week
2 - pros / afternoon
3 - Mon / Tue and Thu / Fri",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_ROT_CHILD,Unipark,Rotationsszenario 1-3 Wie bewerten Sie dieses Szenario?,Rotation Scenario 1-3 How do you rate this scenario?,Für mein Kind machbar,feasible for my child,"1	Auf keinen Fall machbar
2	
3	
4	
5	
6	
7	Auf jeden Fall machbar","1 Do not feasible
2
3
4
5
6
7 Definitely doable",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_ROT_FAM,Unipark,Rotationsszenario 1-3 Wie bewerten Sie dieses Szenario?,Rotation Scenario 1-3 How do you rate this scenario?,Für unsere Familie machbar,feasible for our family,"1	Auf keinen Fall machbar
2	
3	
4	
5	
6	
7	Auf jeden Fall machbar","1 Do not feasible
2
3
4
5
6
7 Definitely doable",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_ROTATION,Unipark,Rotationsszenario 1-3 Wie bewerten Sie dieses Szenario?,Rotation Scenario 1-3 How do you rate this scenario?,Sollte eingeführt werden,Should be introduced,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_DIST_6_B10,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 6 bis unter 10 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 6 to under 10 years. I trust my child to school ...,an die Abstandsregeln zu halten.,to abide by the spacing rules.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_6_B10=1,Filters: CHILD_6_B10 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_HYG_6_B10,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 6 bis unter 10 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 6 to under 10 years. I trust my child to school ...,an die Hygieneregeln zu halten.,to abide by the rules of hygiene.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_6_B10=1,Filters: CHILD_6_B10 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_DIST_10_B14,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 10 bis unter 14 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 10 to under 14 years. I trust my child to school ...,an die Abstandsregeln zu halten.,to abide by the spacing rules.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_10_B14=1,Filters: CHILD_10_B14 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_HYG_10_B14,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 10 bis unter 14 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 10 to under 14 years. I trust my child to school ...,an die Hygieneregeln zu halten.,to abide by the rules of hygiene.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_10_B14=1,Filters: CHILD_10_B14 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_DIST_14_B18,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 14 bis unter 18 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 14 to under 18 years. I trust my child to school ...,an die Abstandsregeln zu halten.,to abide by the spacing rules.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_14_B18=1,Filters: CHILD_14_B18 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Policies - Exit-Strategien Schule,Policies - exit strategies School,SCHOOL_HYG_14_B18,Unipark,"Bitte denken Sie jetzt an Ihr/ Kind/er im Alter von 14 bis unter 18 Jahren. Ich traue meinem Kind zu, sich in der Schule ... ",Please think now you / child / ren aged 14 to under 18 years. I trust my child to school ...,an die Hygieneregeln zu halten.,to abide by the rules of hygiene.,"1	Auf keinen Fall 
2	
3	
4	
5	
6	
7	Auf jeden Fall ","1 Never
2
3
4
5
6
7 In any case,",Keine,"NA
-77",keine,Filter: CHILD_14_B18=1,Filters: CHILD_14_B18 = 1,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,MOT_KOOP_BETROFFEN,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,Entwicklungsländer sind von der Corona-Situation am stärksten betroffen.,Developing countries are affected by the corona situation most.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,MOT_KOOP_GLOBAL,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,Globale Herausforderungen wie die Corona-Situation erfordern globale Solidarität und Zusammenarbeit.,Global challenges such as the corona situation require global solidarity and cooperation.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,MOT_KOOP_MORAL,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,"Deutschland ist moralisch dazu verpflichtet, stärker betroffenen Ländern zu helfen.",Germany's moral obligation to help countries most affected.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,MOT_KOOP_INSTR,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,"Deutschland sollte mit anderen Ländern nur zusammenarbeiten, wenn es den deutschen Interessen unmittelbar nützt (z.B. zum Schutz der EU-Außengrenzen).","Germany should only work with other countries when German interests directly benefits (for example, to protect the EU's external borders).","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,DON_INTERNATIONAL,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,"Ich bin bereit zu spenden (z.B. Geld oder medizinische Ausrüstung), um zur Bewältigung der Corona-Situation in anderen Ländern beizutragen.","I am willing to donate (for example, money or medical equipment), to help address the corona situation in other countries.","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Deval - Bruder,Deval - brother,WTD_INTERNATIONAL,Unipark,Bitte geben Sie nun Ihre Meinung zu folgenden Aussagen an.,Now please give your opinion on the following statements.,"Ich habe gespendet (z.B. Geld oder medizinische Ausrüstung), um zur Bewältigung der Corona-Situation in anderen Ländern beizutragen.","I have donated to help (for example, money or medical equipment) to deal with the corona situation in other countries.","		1	Ja
 		2	Nein
 		3	Trifft nicht zu","1 Yes
 2 No
 3 Not applicable",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_CLOTH_BUY,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Stoffmasken schützen vor allem andere Personen. Die Person, die die Maske trägt, wird dadurch selbst nicht geschützt.","There are different masks that protect against the coronavirus.
Cloth masks protect against all others. The person wearing the mask, is thereby not protected itself.","Wie würden Sie entscheiden, wenn Sie nächste Woche die Möglichkeit hätten, genau so eine Maske zu erwerben? ","How would you decide if you have the opportunity next week, just to buy a mask?","1	Ich habe bereits eine solche Maske 
2	 Auf keinen Fall kaufen 
3	 
4	 
5	 
6	 
7	
8	Auf jeden Fall kaufen","1 I have such a mask
Buy 2 Never
3
4
5
6
7
Buy 8 In any case,",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_CLOTH_WEAR,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Stoffmasken schützen vor allem andere Personen. Die Person, die die Maske trägt, wird dadurch selbst nicht geschützt.","There are different masks that protect against the coronavirus.
Cloth masks protect against all others. The person wearing the mask, is thereby not protected itself.","Ich bin bereit, genau so eine Maske in der Öffentlichkeit zu tragen.",I am ready to carry just such a mask in public.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_CLOTH_OBL,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Stoffmasken schützen vor allem andere Personen. Die Person, die die Maske trägt, wird dadurch selbst nicht geschützt.","There are different masks that protect against the coronavirus.
Cloth masks protect against all others. The person wearing the mask, is thereby not protected itself.",Das Tragen solcher Masken sollte verpflichtend sein. ,Wearing such masks should be mandatory.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,Condition_Mask,Unipark,keine,no,keine,no,"1 - self (mit Ventil) & ohne Empfehlung
2 - both (ohneVentil) & ohne Empfehlung
3 - self (mit Ventil) & mit Empfehlung
4 - both (ohneVentil)  & mit Empfehlung","1 - self (with valve) without recommendation
2 - both (without valve) without recommendation
3 - self (with valve) with Recommendation
4 - both (without valve) with recommendation",Keine,NA,"EXP_MASK_BOTH
EXP_MASK_RECOM",Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_FFP2_BUY,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Szenario 1-4","There are different masks that protect against the coronavirus.
scenario 1-4","Wie würden Sie entscheiden, wenn Sie nächste Woche die Möglichkeit hätten, genau so eine Maske zu erwerben? ","How would you decide if you have the opportunity next week, just to buy a mask?","1	Ich habe bereits eine solche Maske 
2	 Auf keinen Fall kaufen 
3	 
4	 
5	 
6	 
7	
8	Auf jeden Fall kaufen","1 I have such a mask
Buy 2 Never
3
4
5
6
7
Buy 8 In any case,",Keine,NA,MASK_FFP2_BUY_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_FFP2_WEAR,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Szenario 1-4","There are different masks that protect against the coronavirus.
scenario 1-4","Ich bin bereit, genau so eine Maske in der Öffentlichkeit zu tragen.",I am ready to carry just such a mask in public.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,MASK_FFP2_WEAR_CAT,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Masken,masks,MASK_FFP2_OBL,Unipark,"Es gibt verschiedene Masken, die gegen das Coronavirus schützen. 
Szenario 1-4","There are different masks that protect against the coronavirus.
scenario 1-4",Das Tragen solcher Masken sollte verpflichtend sein. ,Wearing such masks should be mandatory.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
BZgA - Rauchen,BZgA - Smoking,BZGA_SMOKE1,Unipark,In den nächsten Fragen geht es um Ihre Rauchgewohnheiten. ,In the next few questions are about your smoking habits.,Rauchen Sie Tabakprodukte? Bitte schließen Sie elektronische Zigaretten oder ähnliche Produkte aus. ,Do you smoke tobacco products? Please close of electronic cigarettes or similar products.,"1  Ja, täglich 
2  Ja, gelegentlich 
3  Nein, ich rauche nicht mehr. 
4  Nein, ich habe noch nie geraucht.","1 Yes, daily
2 Yes, occasionally
3 No, I do not smoke anymore.
4 No, I've never smoked.",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Rauchen,BZgA - Smoking,BZGA_SMOKE2,Unipark,In den nächsten Fragen geht es um Ihre Rauchgewohnheiten. ,In the next few questions are about your smoking habits.,"Nutzen Sie aktuell elektronische Zigaretten oder ähnliche elektronische Produkte, z.B. E-Shisha, E-Pfeife? ","Take advantage of current electronic cigarettes or similar electronic products, such as E-Shisha, E-pipe?","1  Ja, täglich 
2  Ja, gelegentlich 
3  Nein, nutze ich nicht mehr.
4  Nein, habe ich noch nie genutzt. ","1 Yes, daily
2 Yes, occasionally
3 No, I do not use more.
4 No, I've never used.",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Medienkonsum,BZgA - media consumption,BZGA_MEDIACON_PC,Unipark,"Bitte denken Sie jetzt daran, wieviel Zeit Sie normalerweise mit Unterhaltungsmedien wie Computerspiele und im Internet verbringen würden und wie viel Zeit Sie aktuell tatsächlich damit verbringen. 
Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen.

Ich verbringe mehr Zeit als vor der Corona-Situation mit ...","Please think now about how much time you would normally spend with computer games and entertainment media such as the internet and you currently actually spend as much time with it.
Please indicate how much you agree with the following statements.

I spend more time than before the corona situation with ...","Computerspielen bzw. Videospielen
","Computer games and video games
","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Medienkonsum,BZgA - media consumption,BZGA_MEDIACON_INTERNET,Unipark,"Bitte denken Sie jetzt daran, wieviel Zeit Sie normalerweise mit Unterhaltungsmedien wie Computerspiele und im Internet verbringen würden und wie viel Zeit Sie aktuell tatsächlich damit verbringen. 
Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen.

Ich verbringe mehr Zeit als vor der Corona-Situation mit ...","Please think now about how much time you would normally spend with computer games and entertainment media such as the internet and you currently actually spend as much time with it.
Please indicate how much you agree with the following statements.

I spend more time than before the corona situation with ...",digitalen Medien bzw. im Internet,digital media and the Internet,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Medienkonsum,BZgA - media consumption,BZGA_MEDIACONSUMPTION,Unipark,"Bitte denken Sie jetzt daran, wieviel Zeit Sie normalerweise mit Unterhaltungsmedien wie Computerspiele und im Internet verbringen würden und wie viel Zeit Sie aktuell tatsächlich damit verbringen. 
Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen.","Please think now about how much time you would normally spend with computer games and entertainment media such as the internet and you currently actually spend as much time with it.
Please indicate how much you agree with the following statements.",Meine Mediennutzung während der Corona-Situation wäre in normalen Zeiten wohl problematisch.,My media use during the corona situation would be problematic in normal times.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL1_3_B6,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 3 bis unter 6 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 3 to under 6 years. Now please think this age group your child / children.,Wie schätzen Sie den Kenntnisstand Ihres Kindes über das Coronavirus ein?,How do you assess the level of knowledge of your child about the coronavirus?,"1	Sehr schlecht
2	 
3	 
4	 
5	 
6	 
7	Sehr gut","1 Very bad
2
3
4
5
6
7 Very good",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL2_3_B6,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 3 bis unter 6 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 3 to under 6 years. Now please think this age group your child / children.,"Mein Kind versteht, warum die derzeitigen Maßnahmen umgesetzt werden.",My child understands why the current measures are implemented.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL3_3_B6,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 3 bis unter 6 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 3 to under 6 years. Now please think this age group your child / children.,Wie häufig äußert ihr Kind Sorgen oder Ängste aufgrund des neuartigen Coronavirus?,How often their child worries or fears expressed due to the novel coronavirus?,"1  Mehrmals täglich
2  Etwa einmal täglich
3  Mehrmals pro Woche
4  Mehrmals im Monat
5  Seltener
6  Nie","1 Several times a day
2 About once a day
3 Several times a week
4 Several times a month
5 Rare
6 Never",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL1_6_B10,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 6 bis unter 10 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 6 to under 10 years. Now please think this age group your child / children.,Wie schätzen Sie den Kenntnisstand Ihres Kindes über das Coronavirus ein?,How do you assess the level of knowledge of your child about the coronavirus?,"1	Sehr schlecht
2	 
3	 
4	 
5	 
6	 
7	Sehr gut","1 Very bad
2
3
4
5
6
7 Very good",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL2_6_B10,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 6 bis unter 10 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 6 to under 10 years. Now please think this age group your child / children.,"Mein Kind versteht, warum die derzeitigen Maßnahmen umgesetzt werden.",My child understands why the current measures are implemented.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL3_6_B10,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 6 bis unter 10 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 6 to under 10 years. Now please think this age group your child / children.,Wie häufig äußert ihr Kind Sorgen oder Ängste aufgrund des neuartigen Coronavirus?,How often their child worries or fears expressed due to the novel coronavirus?,"1  Mehrmals täglich
2  Etwa einmal täglich
3  Mehrmals pro Woche
4  Mehrmals im Monat
5  Seltener
6  Nie","1 Several times a day
2 About once a day
3 Several times a week
4 Several times a month
5 Rare
6 Never",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
